,color_space,orient,pix_per_cell,cell_per_block,hog_channel,spatial_size,hist_bins,time,accuracy
6,YCrCb,7.0,8.0,2.0,ALL,"(32, 32)",36.0,12.84,1.0
68,YCrCb,9.0,8.0,3.0,ALL,"(16, 16)",48.0,12.65,0.9975
57,YUV,9.0,8.0,4.0,ALL,"(48, 48)",24.0,14.04,0.9975
34,HSV,9.0,6.0,3.0,ALL,"(24, 24)",28.0,14.65,0.9975
4,YCrCb,12.0,9.0,4.0,ALL,"(24, 24)",32.0,11.02,0.995
12,HSV,12.0,10.0,2.0,ALL,"(16, 16)",24.0,9.39,0.995
41,HSV,14.0,6.0,3.0,2,"(24, 24)",36.0,7.22,0.995
53,YCrCb,5.0,9.0,4.0,ALL,"(24, 24)",48.0,10.86,0.995
72,YUV,5.0,8.0,3.0,ALL,"(32, 32)",32.0,12.74,0.995
47,HLS,14.0,7.0,3.0,1,"(48, 48)",48.0,7.55,0.9925
56,YUV,12.0,10.0,3.0,ALL,"(16, 16)",36.0,9.36,0.9925
29,RGB,9.0,7.0,2.0,ALL,"(16, 16)",32.0,12.18,0.9925
61,RGB,14.0,8.0,3.0,2,"(40, 40)",48.0,7.96,0.9925
38,RGB,12.0,7.0,3.0,1,"(24, 24)",48.0,6.24,0.9925
71,YUV,9.0,6.0,4.0,ALL,"(48, 48)",24.0,23.8,0.9925
52,LUV,14.0,8.0,3.0,0,"(40, 40)",40.0,9.42,0.9925
14,RGB,12.0,8.0,3.0,ALL,"(24, 24)",36.0,12.76,0.99
77,YCrCb,14.0,6.0,4.0,ALL,"(24, 24)",48.0,22.27,0.99
70,HSV,12.0,7.0,2.0,ALL,"(16, 16)",32.0,15.32,0.99
2,RGB,14.0,7.0,4.0,1.0,"(48, 48)",28.0,9.69,0.99
39,YCrCb,12.0,6.0,3.0,ALL,"(32, 32)",40.0,18.0,0.99
7,LUV,9.0,8.0,4.0,0,"(32, 32)",32.0,6.21,0.99
8,RGB,7.0,9.0,2.0,ALL,"(40, 40)",48.0,12.37,0.99
67,YUV,12.0,8.0,4.0,0,"(32, 32)",40.0,6.65,0.99
65,YCrCb,14.0,10.0,3.0,0,"(16, 16)",32.0,5.31,0.9875
16,RGB,12.0,6.0,3.0,0,"(48, 48)",36.0,9.0,0.9875
83,RGB,9.0,8.0,4.0,0,"(32, 32)",48.0,7.02,0.9875
42,RGB,9.0,8.0,3.0,2,"(24, 24)",48.0,5.66,0.9875
26,HSV,7.0,9.0,3.0,2,"(24, 24)",48.0,5.43,0.9875
27,RGB,7.0,7.0,4.0,ALL,"(40, 40)",40.0,14.52,0.9875
51,YUV,12.0,10.0,2.0,ALL,"(48, 48)",28.0,15.64,0.9875
49,RGB,9.0,10.0,4.0,0,"(40, 40)",48.0,9.24,0.985
79,RGB,7.0,8.0,3.0,2,"(40, 40)",36.0,7.81,0.985
22,YUV,7.0,8.0,4.0,0,"(24, 24)",40.0,6.12,0.985
11,RGB,12.0,6.0,4.0,2,"(48, 48)",48.0,10.58,0.985
13,HSV,9.0,7.0,3.0,ALL,"(48, 48)",36.0,14.98,0.985
31,YCrCb,12.0,9.0,4.0,0,"(32, 32)",32.0,5.47,0.9825
66,RGB,12.0,9.0,4.0,ALL,"(24, 24)",36.0,11.35,0.9825
50,HLS,9.0,9.0,4.0,ALL,"(16, 16)",32.0,10.17,0.9825
36,RGB,14.0,10.0,2.0,1,"(48, 48)",48.0,8.39,0.9825
60,HLS,7.0,6.0,2.0,1,"(32, 32)",24.0,7.58,0.9825
24,HLS,7.0,10.0,4.0,ALL,"(32, 32)",48.0,7.72,0.9825
55,RGB,14.0,9.0,4.0,1,"(48, 48)",24.0,8.57,0.98
43,HLS,5.0,7.0,4.0,ALL,"(48, 48)",32.0,11.87,0.98
63,RGB,5.0,7.0,2.0,0,"(16, 16)",24.0,6.25,0.98
69,RGB,14.0,10.0,4.0,1,"(48, 48)",36.0,10.16,0.98
18,RGB,7.0,6.0,3.0,2,"(24, 24)",28.0,6.75,0.9775
19,YUV,12.0,9.0,4.0,0,"(48, 48)",36.0,7.41,0.9775
3,YUV,14.0,9.0,2.0,0.0,"(32, 32)",28.0,6.53,0.9775
20,YUV,7.0,10.0,4.0,0,"(24, 24)",24.0,5.86,0.9775
0,YUV,9.0,10.0,2.0,0.0,"(48, 48)",28.0,8.2,0.9725
48,YUV,7.0,10.0,2.0,0,"(32, 32)",36.0,6.82,0.9725
21,YUV,5.0,10.0,4.0,0,"(16, 16)",28.0,4.75,0.9725
37,HSV,12.0,6.0,2.0,1,"(16, 16)",36.0,6.75,0.97
45,HSV,5.0,10.0,3.0,ALL,"(32, 32)",36.0,7.97,0.97
80,HLS,12.0,9.0,3.0,2,"(32, 32)",40.0,6.45,0.9675
44,HSV,5.0,9.0,3.0,1,"(16, 16)",40.0,5.02,0.9675
32,LUV,7.0,9.0,3.0,0,"(48, 48)",32.0,6.85,0.9675
30,LUV,9.0,9.0,2.0,0,"(48, 48)",24.0,7.3,0.965
25,HSV,12.0,9.0,3.0,1,"(16, 16)",32.0,5.3,0.965
58,HSV,7.0,10.0,4.0,1,"(32, 32)",28.0,8.29,0.965
59,YCrCb,7.0,7.0,4.0,2,"(48, 48)",24.0,8.92,0.9625
40,HSV,7.0,9.0,4.0,1,"(48, 48)",24.0,12.35,0.9625
85,HLS,14.0,6.0,3.0,2,"(16, 16)",40.0,9.0,0.96
73,HSV,7.0,6.0,2.0,0,"(48, 48)",36.0,9.11,0.9575
62,HLS,12.0,8.0,4.0,0,"(32, 32)",40.0,7.94,0.9575
9,YUV,9.0,10.0,2.0,2,"(24, 24)",32.0,7.55,0.9575
76,YCrCb,5.0,7.0,3.0,1,"(32, 32)",40.0,7.03,0.955
54,YUV,14.0,10.0,4.0,2,"(48, 48)",24.0,8.14,0.955
78,YCrCb,7.0,6.0,2.0,2,"(32, 32)",28.0,8.72,0.955
64,YCrCb,5.0,7.0,4.0,1,"(40, 40)",48.0,7.51,0.955
1,YUV,5.0,6.0,3.0,2.0,"(40, 40)",28.0,8.29,0.955
17,YCrCb,7.0,8.0,2.0,2,"(24, 24)",28.0,5.94,0.9525
15,HSV,12.0,10.0,3.0,0,"(40, 40)",48.0,5.97,0.9525
84,YUV,12.0,10.0,2.0,2,"(24, 24)",24.0,7.67,0.9525
35,YUV,7.0,10.0,3.0,1,"(24, 24)",36.0,5.47,0.95
28,YUV,7.0,10.0,3.0,2,"(16, 16)",36.0,5.53,0.95
33,YCrCb,5.0,9.0,3.0,1,"(40, 40)",32.0,7.66,0.9475
81,YUV,9.0,6.0,2.0,2,"(16, 16)",48.0,11.53,0.9475
23,YCrCb,12.0,9.0,2.0,2,"(40, 40)",48.0,6.69,0.9425
5,YCrCb,5.0,10.0,4.0,1,"(32, 32)",32.0,6.24,0.9425
74,HSV,14.0,7.0,4.0,1,"(16, 16)",40.0,7.97,0.94
46,YCrCb,12.0,9.0,3.0,1,"(16, 16)",32.0,5.79,0.94
75,YCrCb,9.0,10.0,3.0,2,"(24, 24)",28.0,7.79,0.94
10,YUV,12.0,9.0,2.0,2,"(32, 32)",24.0,6.59,0.9375
82,YCrCb,9.0,8.0,4.0,1,"(16, 16)",24.0,6.18,0.935
